x,y,z
317.8371924626399,439.2274403217728,a
345.6414898320918,427.85101362871836,a
335.26205161030424,425.4850749131772,a
344.7311159436368,473.64544599253634,a
374.3068786285648,467.06253494727486,a
376.46904425747425,433.4581438626025,a
361.527668732791,435.7189790661296,a
376.6657794360524,468.0299932050082,a
399.75974876742885,438.71594749797737,a
407.31112272095584,459.5128470285779,a
410.43891499349354,399.2645205354055,a
448.3285197303296,477.58948226385957,a
461.6887284216562,428.1557280799349,a
428.2646850418268,445.6974266627807,a
469.4537013715437,418.35664181852405,a
485.9178051807171,449.05279745362935,a
445.40430774499237,417.70158371054646,a
467.6773590460588,399.73490222293924,a
471.3564286285215,409.5317829975183,a
474.4167918768577,391.7331487562418,a
480.9949858508792,394.3578908109173,a
478.1560147496025,418.3478583377135,a
459.3162454316433,357.9100726528948,a
504.21767514330185,386.34731792382826,a
527.4545668858099,383.7565251259179,a
498.97099673026975,345.2067106548967,a
499.7025939710761,389.7055334969841,a
509.6438606728025,403.2198306200176,a
494.3599642850202,336.49819476506923,a
512.3755510826625,317.6729932860847,a
518.9739348097006,323.8894428719293,a
460.58992523534414,338.7471081017685,a
507.18634842482516,332.5573211607885,a
443.35125604237237,264.7306082972022,a
505.04416690719216,293.5688721849118,a
452.5174067835147,273.52614746039626,a
447.411497578274,291.73003825007027,a
445.2394745988707,235.45059207726985,a
428.452703308753,268.72586825614314,a
402.0994706707386,304.94298648911564,a
441.3826356639343,273.54818662956444,a
391.9153282127619,276.15523663991996,a
394.6791014591779,288.81396129504066,a
361.5866326980967,292.38002410034784,a
355.30077332919507,284.6995658140753,a
366.1715403032055,286.7604921990987,a
399.83013890175187,294.42258353491314,a
369.7406302799351,337.39338217573203,a
346.3960067296655,289.47371460554433,a
332.9594254443322,322.51382370897386,a
376.0662452253177,389.13948773132915,a
294.8893256978653,308.6311444973767,a
341.6024037354036,348.4412393269024,a
335.35387874028964,368.7971263383837,a
355.49813909159167,331.7688704521651,a
346.61707829829766,359.4719814844108,a
312.17249440961814,377.34738043897516,a
337.0023854125681,368.4007468232277,a
293.3187186547895,377.03001116591764,a
306.10941976649735,372.79067321462423,a
328.3492088323404,394.17704488623815,a
