title,date,link,content
"
Kiongozi wa Korea Kaskazini aelekea Urusi
","Jumatatu , 11th Sep , 2023",https://www.eatv.tv/news/current-affairs/kiongozi-wa-korea-kaskazini-aelekea-urusi,"  Kiongozi wa Korea Kaskazini Kim Jong Un ameripotiwa kuanza safari yake ya kuelekea Vladivostok kwa mkutano wa kilele na Rais wa Urusi Vladimir Putin. Treni hiyo ya kivita ambayo Kim anaitumia kwa ziara za kigeni inaonekana kuondoka Pyongyang, vyombo vya habari vya Korea Kusini vimeripoti vikimnukuu afisa wa serikali. Mkutano huo unatarajiwa kufanyika mapema siku ya Jumanne.Shirika la habari la Urusi Interfax limeripoti mapema kwamba Kim anatarajiwa kuzuru ""katika siku zijazo"". Iwapo mkutano huo na Putin utafanikiwa, itakuwa ni ziara ya kwanza ya kimataifa ya kiongozi huyo wa Korea Kaskazini katika kipindi cha zaidi ya miaka minne, na ya kwanza tangu janga la virusi vya corona. Viongozi hao wawili huenda wakajadili uwezekano wa Korea Kaskazini kuipatia Moscow silaha za kusaidia vita vyake nchini Ukraine, afisa wa Marekani awali aliiambia BBC mshirika wa Marekani CBS. Ziara ya mwisho ya Kim nje ya nchi ilikuwa Vladivostok mwaka 2019 kwa mkutano wake wa kwanza na Putin baada ya kuvunjika kwa mazungumzo ya Korea Kaskazini ya kuachana na silaha za nyuklia na rais wa wakati huo Donald Trump. Kim pia alisafiri kwenda Vladivostok kwa treni mwaka 2019. Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Nyama Safari Manjala 
 Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Kwenye picha kuanzia kushoto ni Jay Melody, Alikiba na Rayvanny Nyama Maua ©  East Africa Television Limited. All Rights Reserved"
"
Shambulizi la bomu laua 16 Ukraine, yumo mtoto
","Jumatano , 6th Sep , 2023",https://www.eatv.tv/news/current-affairs/shambulizi-la-bomu-laua-16-ukraine-yumo-mtoto,"  Takriban watu 16 wameuawa katika shambulio la kombora katika mji wa Kostyantynivka nchini Ukraine. Rais Volodymyr Zelensky, ambaye aliilaumu Urusi, alisema waliouawa ni watu ambao hawakufanya kosa lolote na kuonya kuwa idadi ya vifo inaweza kuongezeka.  Video zinazosambaa kwenye mitandao ya kijamii zinaonekana kuonyesha wakati wa mlipuko huo na matokeo yake ya picha.  Kostyantynivka, katika mkoa wa mashariki mwa Ukraine wa Donetsk, iko karibu na mstari wa mbele. Rais Zelensky amesema ""Uovu huu wa Urusi lazima ushindwe haraka iwezekanavyo,"" . Mamlaka mjini Moscow bado hazijatoa tamko lolote kuhusu madai hayo. Miongoni mwa watu 16 waliofariki ni mtoto, huku wengine 20 wakidhaniwa kujeruhiwa, kwa mujibu wa taarifa zilizosambazwa na Waziri Mkuu wa Ukraine Denys Shmyhal. Soko, maduka na maduka ya dawa yanaripotiwa kukumbwa na hitilafu.Video zinazosambaa kwenye mitandao ya kijamii zinaonekana kuonyesha wakati wa mlipuko huo na matokeo yake ya picha. Tukio hilo limejiri katika barabara yenye shughuli nyingi wakati watu walikuwa wakimiminika kwenye vibanda vya soko na mitaro ya mikahawa. Maafisa nchini Urusi bado hawajadai kuhusika na shambulio hilo. Awali walikanusha kuwalenga raia kama sehemu ya mashambulizi yao.Shambulio hilo la Jumatano lilienda sambamba na ziara ya Waziri wa Mambo ya Nje wa Marekani Antony Blinken katika mji mkuu wa Ukraine, Kyiv, ambako alitarajiwa kukutana na Bw Zelensky. Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Kim Jong Un na Putin kukutana mwezi huu
","Jumanne , 5th Sep , 2023",https://www.eatv.tv/news/current-affairs/kim-jong-un-na-putin-kukutana-mwezi-huu,"  Kiongozi wa Korea Kaskazini Kim Jong Un anapanga kusafiri kwenda Urusi mwezi huu kukutana na Rais Vladimir Putin, kwa mujibu wa taarifa ya afisa mmoja wa Marekani  Viongozi hao wawili watajadili uwezekano wa Korea Kaskazini kuipatia Moscow silaha za kusaidia vita vyake nchini Ukraine, afisa huyo alisema.Ambapo mazungumzo yatafanyika sehemu isiyojulikana. 
	Msemaji wa Kremlin hakuwa na cha kusema juu ya ripoti hizo, ambazo pia zilibebwa na vyombo vingine vya habari vya Marekani. Hakuna tamko lolote la haraka kutoka Korea Kaskazini. 
	Vyanzo vya habari vimeliambia gazeti la New York Times kwamba Kim alikuwa na uwezekano mkubwa wa kusafiri kwa kutumia treni ya kivita. 
	Mkutano huo unakuja baada ya Ikulu ya White House kusema ina taarifa mpya kwamba mazungumzo ya silaha kati ya nchi hizo mbili yanaendelea. 
	Msemaji wa Baraza la Usalama la Taifa John Kirby amesema Waziri wa Ulinzi wa Urusi, Sergei Shoigu, alijaribu kuishawishi Pyongyang kuuza silaha za kivita kwa Urusi wakati wa ziara yake ya hivi karibuni nchini Korea Kaskazini. Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Rais wa Urusi ahutubia bila kutaja ajali ya ndege
","Alhamisi , 24th Aug , 2023",https://www.eatv.tv/news/current-affairs/rais-wa-urusi-ahutubia-bila-kutaja-ajali-ya-ndege,"  Mkuu wa kundi la mamluki la Wagner Yevgeny Prigozhin anadhaniwa kuwa aliuawa katika ajali ya ndege kaskazini mwa Moscow, pamoja na mtu wake wa  karibu Dmitry Utkin na wengine wanane.  Rais Volodymyr Zelensky ameliambia shirika la habari la Interfax-Ukraine kwamba Ukraine haikuhusika katika kifo cha bosi wa Wagner Yevgeny Prigozhin Ndege hiyo inayomilikiwa na Prigozhin, ilikuwa na abiria saba na wafanyakazi watatu wakati ilipoanguka katika eneo la Tver. Miili yote 10 imepatikana, ripoti zinasema Kufuatia ajali hiyo na vifo hivyo kumekua na mshangao baada ya Rais wa Urusi Vladimir Putin wa Urusi  kutotaja ajali hiyo wakati akihutubia mkutano wa kimataifa kwa njia ya video. Hata ikulu ya Kremlin bado haijasema lolote kuhusu ajali ya ndege ya Jumatano ambapo kiongozi wa Wagner Yevgeny Prigozhin anadhaniwa kuwa amefariki dunia. Kuna uvumi mkubwa juu ya kile kilichotokea. Vyanzo vya ulinzi vya Uingereza vinaiambia BBC kuwa shirika la ujasusi la Urusi FSB lina uwezekano mkubwa wa kuwajibika. Wakati huo huo , Rais Volodymyr Zelensky ameliambia shirika la habari la Interfax-Ukraine kwamba Ukraine haikuhusika katika kifo cha bosi wa Wagner Yevgeny Prigozhin. Rais huyo amesema nchi yake haijahusika na suala hilo na kwamba  anatambua ni nani ana uhusiano na suala  hilo Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Watano wauawa kwa kombora Ukraine
","Jumamosi , 19th Aug , 2023",https://www.eatv.tv/news/current-affairs/watano-wauawa-kwa-kombora-ukraine,"  Watu watano wameuawa na wengine 37 kujeruhiwa wakati kombora la Urusi lilipoupiga mji wa kaskazini mwa Ukraine wa Chernihiv, wizara ya mambo ya ndani ya Ukraine imesema.  Watoto 11 ni miongoni mwa waliojeruhiwa. Uwanja mkuu, jengo la chuo kikuu na ukumbi wa michezo umeripotiwa kuharibiwa. 
	Rais Volodymyr Zelensky aliweka video fupi inayoonyesha magari yaliyoharibiwa na majengo yakiwa yamejaa vifusi. Mwili mmoja pia unaweza kuonekana kwa muda mfupi.Chernihiv iko karibu na mpaka wa Belarus. Ilikaliwa na Urusi mwanzoni mwa uvamizi huo, lakini baadaye ikachukuliwa tena na wanajeshi wa Ukraine. 
	""Kombora la Urusi lilipiga katikati ya mji, katika Chernihiv yetu. Mraba, chuo kikuu cha polytechnic, ukumbi wa michezo, ""Rais Zelensky aliandika kwenye Telegram.""Jumamosi ya kawaida, ambayo Urusi iligeuka kuwa siku ya maumivu na kupoteza. Kuna watu wamekufa, kuna majeruhi,"" aliongeza.
	  Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Nimesikia kilio cha viongozi wa Afrika - Putin
","Ijumaa , 28th Jul , 2023",https://www.eatv.tv/news/current-affairs/nimesikia-kilio-cha-viongozi-wa-afrika-putin,"  Rais wa Urusi Vladimir Putin amewaambia viongozi wa Afrika Ijumaa ya leo mjini Moscow kuwa  anaheshimu pendekezo lao la amani kuhusu Ukraine na alikuwa akilichunguza kwa makini  Putin pia ameuambia mkutano wa kilele wa Urusi na Afrika kwamba Urusi inaongeza usambazaji wa chakula kwa Afrika, ikiwa ni pamoja na usafirishaji wa nafaka bila malipo ambayo alitangaza siku moja kabla, na ina nia ya kuendeleza ushirikiano wa kijeshi na bara hilo 
	Viongozi wa Afrika waliwasilisha mpango wao wa amani mwezi uliopita kwa Putin na Rais wa Ukraine Volodymyr Zelenskiy lakini umeshindwa kupata maelewano na pande zote mbili.
	  Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Urusi yashambulia hifadhi ya nafaka Ukraine
","Jumatano , 19th Jul , 2023",https://www.eatv.tv/news/current-affairs/urusi-yashambulia-hifadhi-ya-nafaka-ukraine,"  Mashambulizi ya makombora ya Urusi katika pwani ya Bahari Nyeusi ya Ukraine yameharibu tani 60,000 za nafaka na kuharibu miundombinu ya kuhifadhia, maafisa wanasema.   Waziri wa Kilimo Mykola Solskyi alisema kiasi kinachofikiriwa cha miundombinu ya kuuza nje ilikuwa haifanyi kazi. Urusi imejiondoa katika mkataba wa kimataifa wa nafaka tangu majira ya joto mwaka jana, na kuhakikisha njia salama ya usafirishaji wa bidhaa za nje katika Bahari Nyeusi.Kremlin ilisema madai yake ya mauzo ya nje ya Urusi hayakuheshimiwa. Ndani ya saa kadhaa baada ya kujiondoa katika mkataba wa nafaka siku ya Jumatatu. Urusi ilipiga miji ya bandari ya kusini ya Odesa na Mykolaiv mapema Jumanne. Ilifuatia mashambulizi zaidi usiku wa Jumatano, ikilenga vituo vya nafaka na miundombinu ya bandari huko Odesa na zaidi chini ya pwani ya Bahari Nyeusi huko Chornomorsk, bandari mbili kati ya tatu ambazo zilijumuishwa katika mpango wa kuuza nje. Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Ramphosa amwambia Putin vita lazima viishe
","Jumapili , 18th Jun , 2023",https://www.eatv.tv/news/current-affairs/ramphosa-amwambia-putin-vita-lazima-viishe,"  Rais wa Afrika Kusini Cyril Ramaphosa  ambaye yuko nchini Urusi kama sehemu ya ujumbe wa kutafuta amani amemwambia mwenzake wa Urusi Vladimir Putin kwamba vita vya Ukraine lazima vikome.  Ramaphosa ameweka wazi nukta 10 za mpango wa amani wa Afrika ambao unatafuta makubaliano ya hatua za kujenga amani hata kama Ukraine wiki iliyopita ilianza mashambulizi ya kukabiliana na kuvirudisha nyuma vikosi vya Urusi ""Vita hivi lazima viwe na mwisho, lazima vitatuliwe kwa njia ya mazungumzo na kidiplomasia,"" Amesema Ramaphosa akiwa huko St Petersburg Jumamosi . Wataalamu wa siasa za kimataifa wanasema Ujumbe huu una umuhimu maalum kwa Afrika ambayo inategemea usambazaji wa chakula na mbolea kutoka Urusi na Ukraine. Vita hivyo vimezuia uletaji wa bidhaa za ngano ambayo huzalishwa kwa wingi  na nchi hizo mbili. Putin alikatiza hotuba ya ufunguzi ya viongozi wa Afrika wanaotaka kupatanisha mzozo huo ili kutoa sababu kwa nini aliamini mapendekezo yao mengi yalikuwa potofu.Alisisitiza msimamo wake kuwa Ukraine na nchi za Magharibi zilianzisha mzozo muda mrefu kabla ya Urusi kutuma vikosi vyake vya kijeshi kwenye mpaka mwezi Februari mwaka jana. Alisema Urusi haijawahi kukataa mazungumzo na upande wa Ukraine, ambao ulikuwa umezuiwa na Kyiv. Licha ya ujumbe huo wa Afrika katika nchi mbili zinazohasimiana, wataalamu wa siasa za kikanda wanaona kuwa nafasi ya mazungumzo ya amani bado ni finyu huku Ukraine na Urusi zikichukua misimamo tofauti kabisa. Ukraine inaitaka Urusi iondoe wanajeshi wake katika maeneo yake yote inayokalia kama sharti la mazungumzo ya amani. Kremlin kwa upande wake, inataka Ukraine itambue Rasi ya Crimea ambayo Moscow ilinyakua kinyume cha sheria kutoka kwa Ukraine mwaka 2014 kama sehemu ya Urusi na kutambua mafanikio mengine ya ardhi ambayo imepata. Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Viongozi saba wa Afrika wawasili Ukraine
","Ijumaa , 16th Jun , 2023",https://www.eatv.tv/news/current-affairs/viongozi-saba-wa-afrika-wawasili-ukraine,"  Viongozi wa Afrika wapo nchini  Ukraine katika ujumbe wa amani ambapo wanatarajiwa kukutana na Rais Volodymyr Zelensky. Viongozi saba wa Afrika, kutoka nchi kama Afrika Kusini na Misri, wataelekea Urusi hadi kesho. Kundi hilo limekubaliana kushirikiana na Zelensky na Putin juu ya usitishaji mapigano na amani ya kudumu.  Lakini mpango huo unakuja wakati Kyiv inazindua mashambulizi yake dhidi ya uvamizi wa Urusi na mapigano yanaongezeka. Pia Ujumbe wa viongozi wa Afrika utakutana na Rais Zelensky baadaye leo kabla ya kufanya mkutano na vyombo vya habari. Waziri wa Mambo ya Nje wa Ukraine Dmytro Kuleba ameandika kwenye ukurasa wake wa Twitter kwa lugha ya Kiingereza akisema mashambulizi ya Urusi yaliyofanywa leo  yanayoilenga Kyiv, na ni ujumbe kwa viongozi wa Afrika wanaozuru Ukraine leo:  Wakati hayo yakijiri Rais wa Urusi Vladimir Putin amezungumza katika mkutano wa kimataifa wa kiuchumi wa St Petersburg . Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
"
Mwandishi wa Ufaransa auawa Ukraine
","Jumatano , 10th Mei , 2023",https://www.eatv.tv/news/current-affairs/mwandishi-wa-ufaransa-auawa-ukraine,"  Shirika la Habari la Kimataifa la Ufaransa A FP limesema mwandishi wake Arman Soldin ameuwawa kwa shambulio la roketi karibu na mji wa Bakhmut mashariki mwa Ukraine.  Kupitia ukurasa wake wa Twitter Shirika la Habari la Kimataifa la Ufaransa A FP limesema mratibu wake wa video wa Ukraine, Arman Soldin ameuwawa kwa shambulio la roketi karibu na mji wa Bakhmut mashariki mwa Ukraine. Baadae shirika hilo lilitoa taarifa yenye kusema mkasa huo ulitokea jioni ya Jumanne katika mji uitwao Chasiv Yar, ulio karibu na Bakhmut. Soldin alikuwa na umri wa miaka 32 na alizaliwa Sarajevo, eneo ambalo kwa wakati huu ni mji mkuu wa Bosnia. Vikosi vya Urusi vimekuwa vikijaribu kuuteka mji huo kwa muda wa miezi tisa, na hivyo kuufanya kuwa eneo la makabiliano ya kivita la muda mrefu zaidi nchini Ukraine. Bakhmut katika kipindi cha makabiliano ya vita virefu zaidi. Itakumbukwa Mei 2022, mwandishi wa habari mwingine wa Ufaransa Frederic Leclerc-Imhoff, ambaye alikuwa kufanya kazi katika kituo cha televisheni cha Ukraine BFM-TV, aliuawa karibu mji wa Severodonetsk hukohuko mashariki mwa Ukraine.   Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Eneo la ajali Bangi Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, 
 Eneo la ajali Rais wa Jamhuri ya Muungano wa Tanzania Samia Suluhu Hassan, Bangi Katibu Mtendaji wa Baraza la Mitihani Tanzania (NECTA), Dkt. Said Mohamed Nyama ©  East Africa Television Limited. All Rights Reserved"
